Geneid	SRR580389	SRR580390	SRR580391	SRR580392	SRR580393	SRR580394
X.g21988.t1	0	3	0	9	35	10
I.g3455.t1	45	38	26	242	286	218
III.g9319.t1	3	7	2	20	9	16
II.g5848.t1	7	8	2	1	25	34
II.g7247.t1	29	29	29	50	30	44
II.g7241.t1	12	19	9	71	46	74
II.g5846.t1	0	0	3	4	3	3
V.g17012.t1	0	1	0	4	4	3
II.g6641.t2	0	2	1	0	3	3
V.g16454.t2	3	9	4	23	21	17
II.g6580.t3	4	5	2	5	3	4
II.g6662.t1	0	0	0	2	0	0
III.g9424.t3	3845	4155	3834	985	1473	1752
X.g20989.t1	1001	1030	714	2402	2019	2245
V.g18057.t1	683	1112	712	603	499	492
V.g17191.t1	1134	60	136	733	186	290
IV.g13411.t1	1750	2064	1871	232	346	545
III.g9870.t1	6	4	1	17	7	28
V.g14965.t1	6	1	0	26	57	33
V.g14187.t1	1	0	0	3	1	2
I.g3587.t1	1135	257	288	3528	354	1398
V.g16900.t1	14825	14108	15731	15667	1982	7811
V.g17791.t3	0	0	2	5	1	4
V.g16898.t1	4649	1370	2327	2755	325	1082
V.g14193.t1	3	2	0	5	2	11
III.g7764.t1	5566	6636	6054	3393	2606	4080
V.g18058.t2	245	309	342	782	232	693
V.g17193.t1	1002	51	123	899	80	291
V.g16897.t1	507	60	301	151	28	28
IV.g13239.t1	22	14	18	39	10	30
I.g2772.t1	11	39	4	7	18	1
IV.g11013.t1	114	75	112	220	57	140
IV.g13829.t1	2215	345	530	7172	833	2610
II.g5227.t1	9	5	6	6	96	7
V.g16173.t1	557	96	111	816	23	332
IV.g13160.t1	29571	19733	29527	27244	2838	13787
II.g5388.t1	4207	357	1253	3362	460	1083
I.g2179.t1	11794	685	2999	6685	846	2069
IV.g12268.t1	3731	766	1360	11479	952	3760
V.g14031.t1	2	2	5	15	6	9
II.g5389.t1	64098	25980	55022	35069	2316	12029
III.g7456.t1	1788	357	386	4342	124	1436
II.g4651.t1	153	190	137	213	314	256
X.g21065.t2	0	0	0	1	0	0
V.g14030.t2	0	0	0	0	0	0
V.g15142.t1	0	0	1	20	12	10
X.g21066.t3	0	0	0	2	0	0
X.g21064.t1	1	1	1	5	3	3
V.g15009.t1	2	1	2	6	3	3
V.g14028.t1	1	1	1	2	3	1
II.g7165.t3	1619	1749	1453	382	468	650
V.g15065.t2	1	0	1	4	2	3
V.g14094.t1	1	0	0	1	1	1
V.g14023.t2	1	0	0	2	1	0
II.g4789.t1	151	225	203	114	68	84
V.g14024.t2	0	0	1	0	1	0
II.g6794.t2	8	5	5	5	4	4
V.g14670.t1	2481	3547	2536	417	860	1109
V.g14909.t1	5051	6664	5182	297	530	1036
II.g6793.t2	11	6	9	8	1	7
II.g4238.t3	31	40	40	224	94	169
V.g14366.t1	91	83	82	105	170	95
V.g14025.t1	3	2	2	16	11	27
II.g4786.t1	1294	1588	1506	998	1346	1247
V.g15716.t3	379	395	370	522	689	687
V.g14377.t1	1775	2171	1700	310	701	722
I.g1121.t1	1	1	0	2629	2337	2365
I.g1603.t1	1	0	1	2857	1808	2358
X.g22193.t1	0	0	0	636	1038	909
V.g14665.t2	2721	3177	2746	275	558	859
II.g4242.t1	2168	2006	2162	874	762	930
I.g1109.t1	6	3	4	1193	1696	1504
I.g1123.t1	0	0	1	1207	1918	1279
X.g22258.t1	4	1	1	2327	1992	1905
X.g18796.t1	0	0	0	46	41	43
I.g3264.t1	18	13	11	31277	34035	28050
I.g1075.t1	22	17	27	1076	772	1020
I.g3191.t1	0	0	1	3557	8992	6028
V.g17813.t1	2	10	3	24	8	19
V.g17812.t2	260	295	266	773	344	707
II.g7123.t1	32	33	45	20	38	13
X.g21209.t1	71	162	62	247	166	280
III.g8314.t1	1963	1742	1130	1090	1754	1380
II.g7107.t3	316	238	297	293	326	287
V.g16411.t1	48	67	39	75	65	81
IV.g11885.t1	161	100	177	171	197	143
V.g17787.t1	6	9	2	22	14	20
V.g15306.t1	8	5	4	9	15	5
V.g15149.t2	42	57	74	107	82	116
V.g16368.t1	84	124	78	453	272	303
IV.g11886.t1	5	0	0	4	2	3
V.g16353.t2	83	104	129	236	185	208
V.g15148.t1	69	89	63	61	230	88
V.g15304.t1	105	167	86	245	477	291
I.g2655.t1	81	93	96	35	54	61
X.g18846.t1	168	184	194	55	36	44
IV.g11884.t1	62	19	49	63	82	86
V.g15303.t1	73	129	40	113	169	130
V.g15152.t1	236	184	203	104	117	116
V.g15146.t2	1	0	1	7	5	8
V.g17788.t1	658	476	746	1840	1549	1689
IV.g11063.t2	438	560	484	120	211	217
II.g5101.t1	2540	2768	2320	1220	1923	1762
III.g7727.t1	722	574	927	57	136	341
X.g22338.t1	1	4	3	15	12	17
V.g15151.t1	0	1	0	1	2	1
IV.g12423.t2	0	3	0	668	1380	904
V.g15153.t1	52	65	15	159	456	212
V.g15007.t1	1	0	0	30	34	7
II.g5984.t1	1734	1876	1790	585	969	857
III.g8126.t1	83	95	84	158	189	190
X.g21533.t1	14	11	11	108	78	69
V.g14370.t1	28	22	40	96	65	80
IV.g13317.t1	0	1	1	2	0	0
X.g20797.t1	95	90	81	231	319	218
V.g15073.t1	0	0	0	1	1	2
V.g15024.t1	0	0	0	0	4	1
V.g15069.t1	0	0	0	31	104	32
V.g13900.t1	0	0	0	388	183	283
V.g15074.t1	0	0	0	44	502	68
IV.g12472.t1	30	9	75	65	15	51
IV.g12461.t1	579	892	408	735	1527	1048
IV.g12422.t1	1	0	3	2	10	6
IV.g10935.t1	1	0	0	43	38	22
IV.g12462.t1	39	39	45	1004	214	946
IV.g12473.t1	0	1	0	21588	54608	31716
V.g15437.t1	2	6	2	16	8	16
IV.g12471.t1	0	0	0	701	762	712
IV.g12463.t1	370	657	354	1607	1572	2283
X.g19623.t1	7	11	4	4	3	4
X.g21326.t1	1	2	2	3	10	3
X.g22272.t1	1	1	0	0	2	0
V.g14265.t2	23	84	26	34	229	170
V.g17746.t1	2	7	2	11	2	10
V.g15031.t1	2	9	5	20	81	24
V.g15036.t2	0	0	0	0	0	0
V.g15038.t2	0	0	0	1	0	0
